Byswick Pl,North Carolina,24201833,-80.76256364,35.12941909,-80.76306364,35.12926182,37,119,3015,37119003015,37119003015,Random Tract,0.000524151,Selected,115
SE 170th Ave,Oregon,31616819,-122.4878682,45.49857818,-122.4878791,45.49785273,41,51,9804,41051009804,41051009804,Random Tract,0.000725532,Selected,116
Hicks St,New York,28959064,-73.70227636,40.66525273,-73.70285364,40.66468273,36,59,410500,36059410500,36059410500,Random Tract,0.000811266,Selected,119
Sandy Ln,Texas,38297465,-97.19876636,32.74581273,-97.19882818,32.74471182,48,439,101301,48439101301,48439101301,Random Tract,0.001102644,Selected,107
S 22nd St,Indiana,15601826,-87.38359727,39.46243273,-87.38359636,39.46112273,18,167,1500,18167001500,18167001500,Random Tract,0.00131,Selected,108
N Dunlap St,Tennessee,34925590,-90.03056364,35.15824455,-90.03033091,35.15974364,47,157,2000,47157002000,47157002000,Random Tract,0.001517048,Selected,117
Holly Dr,Louisiana,18348084,-90.05261636,29.91683727,-90.05170636,29.91556091,22,51,25600,22051025600,22051025600,Random Tract,0.001567544,Selected,124
E 1st St,New York,28668073,-73.98844636,40.72327364,-73.98698818,40.72268,36,61,3002,36061003002,36061003002,Random Tract,0.001574388,Selected,114
S US Highway 71,Missouri,21690090,-94.52598545,38.88501364,-94.52609727,38.88338,29,95,13301,29095013301,29095013301,Random Tract,0.001637462,Selected,120
Driveway,California,7311031,-118.2657818,33.83408545,-118.2637573,33.83373909,6,37,543802,6037543802,6037543802,Random Tract,0.002053915,Selected,121
Orchard Ave,California,7330084,-118.1995818,33.97795182,-118.1999436,33.97576818,6,37,533602,6037533602,6037533602,Random Tract,0.00221341,Selected,106
Speight Ave,Texas,39678310,-97.11374546,31.54643,-97.11641818,31.54668636,48,309,300,48309000300,48309000300,Random Tract,0.002684987,Selected,113
Rainbow Dr,Wisconsin,44185915,-87.98320727,42.92650909,-87.98592727,42.92626909,55,79,140202,55079140202,55079140202,Random Tract,0.002730568,Selected,110
Dittmar Dr,California,7449385,-118.0307009,33.95402364,-118.0283909,33.95233182,6,37,501900,6037501900,6037501900,Random Tract,0.002863277,Selected,123
S West St,California,5954610,-119.2962573,36.30566364,-119.2961818,36.30251364,6,107,1902,6107001902,6107001902,Random Tract,0.003150905,Selected,122
N Ambassador Dr,Missouri,21698722,-94.68212727,39.30695364,-94.68211909,39.30901182,29,165,30201,29165030201,29165030201,Random Tract,0.003357436,Selected,126
Highway 89,Florida,9743944,-87.09294727,30.76694273,-87.09285727,30.77065,12,113,10400,12113010400,12113010400,Random Tract,0.003708362,Selected,118
McKinney St,Michigan,20786764,-82.94034455,42.42446818,-82.93760636,42.42802,26,163,500800,26163500800,26163500800,Random Tract,0.004484764,Selected,112
Boonton Ave,New Jersey,26362985,-74.34723818,40.98346818,-74.34835182,40.97888,34,27,40701,34027040701,34027040701,Random Tract,0.004721397,Selected,111
N Tully Rd,California,6771398,-121.1330345,38.14742364,-121.1385655,38.15300909,6,77,4701,6077004701,6077004701,Random Tract,0.007860611,Selected,109
Furman Ave,New York,28605403,-73.85066636,40.90163091,-73.84973364,40.90281636,36,5,44000,36005044000,36005044000,Random Tract,0.019323691,Selected,127
Kittiwake Dr,Kentucky,17486941,-84.46554818,37.97800818,-84.46815,37.97783091,21,67,3405,21067003405,21067003405,Random Urban,0.026427762,Selected,128
San Jose St,California,7222452,-118.5025109,34.26114182,-118.5044682,34.26116,6,37,111301,6037111301,6037111301,Random Urban,0.028102427,Selected,129
SW B Ave,Oklahoma,30500335,-98.42905091,34.60618364,-98.43117182,34.60620091,40,31,1400,40031001400,40031001400,Random Tract,0.028520971,Selected,130
Bluffcrest,Texas,39330941,-98.49999909,29.56351,-98.49756818,29.56270727,48,29,191402,48029191402,48029191402,Random Urban,0.036638311,Selected,131
161st St,New York,28646892,-73.80514455,40.75881909,-73.80546091,40.75646909,36,81,119100,36081119100,36081119100,Random Urban,0.041060717,Selected,132
Aster Dr,North Carolina,24474160,-79.74795091,36.05724364,-79.74808182,36.05902273,37,81,12803,37081012803,37081012803,Random Tract,0.043637394,Selected,133
32nd Ave,New York,28627580,-73.86882818,40.75917091,-73.86780091,40.75927909,36,81,36300,36081036300,36081036300,Random Urban,0.046863719,Selected,134
Arnold St,Pennsylvania,32016249,-80.04788909,40.43988636,-80.04912727,40.43989273,42,3,281500,42003281500,42003281500,Random Urban,0.048107027,Selected,135
Cedar Valley Ter,Oklahoma,30597480,-97.53548909,35.35327545,-97.537,35.35174727,40,27,201802,40027201802,40027201802,Random Urban,0.048775259,Selected,136
Kent Ave,New York,28673428,-73.95899364,40.69263,-73.95874273,40.69131909,36,47,23500,36047023500,36047023500,Random Urban,0.063878727,Selected,137
W Harvey St,Pennsylvania,33300453,-75.18450273,40.03250182,-75.18643636,40.03216636,42,101,23900,42101023900,42101023900,Random Tract,0.067892656,Selected,138
Robinson Dr NW,Minnesota,21473615,-93.29959727,45.16483636,-93.29978091,45.16570727,27,3,50608,27003050608,27003050608,Random Tract,0.081985367,Selected,139
Broad St,California,6188239,-122.4560627,37.71319818,-122.4590518,37.71317273,6,75,31400,6075031400,6075031400,Random Tract,0.089060394,Selected,140
W Grand Ave,Illinois,15248998,-87.64393,41.89129091,-87.64357636,41.89129727,17,31,243600,17031243600,17031243600,Random Tract,0.089338024,Selected,141
Norborne,Michigan,20568152,-83.29959818,42.43548182,-83.29969727,42.43724818,26,163,554100,26163554100,26163554100,Random Tract,0.096953985,Selected,142
Sonoma Ct,Rhode Island,33762172,-71.44179909,41.81952636,-71.44199818,41.82039727,44,7,1900,44007001900,44007001900,Random Tract,0.112195486,Selected,143
Thornton Pl,Alabama,3079012,-88.15604091,30.67250818,-88.15602182,30.67048909,1,97,3203,1097003203,1097003203,Random Tract,0.124229933,Selected,144
S Denley Dr,Texas,38403349,-96.79909364,32.70098182,-96.79757,32.69872909,48,113,5700,48113005700,48113005700,Random Tract,0.134651907,Selected,145
E Escalante Rd,Arizona,5155516,-110.8227318,32.17740273,-110.8212682,32.17745182,4,19,4036,4019004036,4019004036,Random Urban,0.156886114,Selected,146
Crescent Ave,Missouri,21752116,-94.46760818,39.03452182,-94.46733727,39.03427091,29,95,10600,29095010600,29095010600,Random Urban,0.162149573,Selected,147
NE Hassalo St,Oregon,31414583,-122.5763309,45.53094455,-122.5735991,45.53091909,41,51,1702,41051001702,41051001702,Random Tract,0.176202245,Selected,148
Farrington Dr,Virginia,42431298,-76.14815636,36.89271636,-76.14696273,36.89038364,51,810,41200,51810041200,51810041200,Random Tract,0.185658449,Selected,149
S 13th St,New Jersey,26629589,-74.20513909,40.73622455,-74.20536091,40.73563273,34,13,3400,34013003400,34013003400,Random Urban,0.192790708,Selected,150
East Ave,Ohio,30033585,-81.56901364,41.04831091,-81.56915818,41.04815909,39,153,505100,39153505100,39153505100,Random Tract,0.198624712,Selected,151
Wakonda View Dr,Iowa,13406626,-93.64506818,41.54667,-93.64978727,41.54668,19,153,4502,19153004502,19153004502,Random Tract,0.208348312,Selected,152
