E Alpine Rd,Texas,39889071,-97.75738727,30.22462182,-97.75642273,30.22407091,48,453,2308,48453002308,48453002308,Random Tract,0.001110783,0.945437722
Driveway,California,6698014,-121.3508627,38.53325364,-121.3495264,38.53577455,6,67,9112,6067009112,6067009112,Random Tract,0.002853189,0.945848188
Pine Island Ct,Florida,10240250,-81.42918364,30.31126636,-81.43288364,30.30832909,12,31,14327,12031014327,12031014327,Random Tract,0.004724146,0.953326493
Kelly St,New York,28630196,-73.89585091,40.82599455,-73.89623364,40.82718,36,5,13100,36005013100,36005013100,Random Tract,0.001245702,0.958861421
Redick Ave,Nebraska,25888751,-95.97740273,41.31759455,-95.97822636,41.31758545,31,55,6101,31055006101,31055006101,Random Tract,0.00082368,0.964475762
Cason Farm Rd,Virginia,41830333,-78.43855,38.04383,-78.44561182,38.04424273,51,3,10500,51003010500,51003010500,Random Tract,0.007073871,0.96772299
E St,California,6564207,-121.4238136,37.73912091,-121.4238291,37.73970455,6,77,5404,6077005404,6077005404,Random Tract,0.000583846,0.975901199
S 1380 E,Utah,41339836,-111.8510991,40.54016636,-111.8511373,40.54117273,49,35,112813,49035112813,49035112813,Random Tract,0.001007095,0.979206849
X,Texas,39083975,-97.21796,27.62927545,-97.21808636,27.62907818,48,355,5101,48355005101,48355005101,Random Tract,0.00023427,0.983199331
15th St NW,Virginia,41823116,-78.49850091,38.03807636,-78.49773818,38.03956182,51,540,202,51540000202,51540000202,Random Tract,0.001669835,0.985091509
E 28th St,New York,28653704,-73.94094182,40.58506182,-73.94073727,40.58389818,36,47,60800,36047060800,36047060800,Random Tract,0.001181482,0.987030554
Hickory Bay Ct,Texas,40271520,-95.72600636,29.75413727,-95.72667818,29.75342727,48,201,454900,48201454900,48201454900,Random Tract,0.000977467,0.9937839
Kenwood Ct,Wisconsin,44056532,-88.04921,44.50122909,-88.04983,44.50148364,55,9,600,55009000600,55009000600,Random Tract,0.000670221,0.997375057
